tagId;lat;lon;locationX;locationY;location;locationCategory;Fell off;Re-Activated & deployed;Activated;Weight;Type;Got Time;Notes_x;MonitorLog.txt;Bag #;Transponder #;Mass Total;Mass Bag;Mass Bat;Sex;FA(mm);Age;Repro State;Tooth Wear;Testes Width;Testes Length;Bites;Guano;Notes_y;Transponder #.1;_merge
F8AC;;;;;;;;X;X;7.69 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:AC: group: 0x12345678, id: F8AC, 4273 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B72;989001044396427.0;210.0;50.0;160.0;M;96.93;A;SCR;;18.67;20.16;N;;;427.0;both
F8EC;;;;;;;;X;X;7.57 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:EC: group: 0x12345678, id: F8EC, 4261 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H8;989001044396560.0;200.0;45.0;155.0;M;96.65;A;SCR;;21.6;19.6;;;;560.0;both
F900;;;;;;;;X;X;7.76 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:00: group: 0x12345678, id: F900, 4266 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;P8;989001044396476.0;200.0;40.0;160.0;M;96.81;A;SCR;1.0;24.7;22.4;;Y;;476.0;both
F93C;;;;;;;;X;X;7.58 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:3C: group: 0x12345678, id: F93C, 4210 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H42;989001044396481.0;190.0;45.0;145.0;M;92.86000000000001;A;SCR;;20.25;19.6;;;;481.0;both
F948;;;;;;;;X;X;8.00 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:48: group: 0x12345678, id: F948, 4266 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E19;989001044396404.0;207.0;40.0;167.0;M;96.72000000000001;A;SCR;1.0;17.63;15.43;Y;Y;;404.0;both
F974;;;;;;;;X;X;7.70 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:74: group: 0x12345678, id: F974, 4251 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S55;989001044396558.0;190.0;40.0;150.0;M;98.76;A;SCR;;18.8;19.1;;;;558.0;both
F98C;;;;;;;X;X;X;7.63 g;Tag;X;FALL OFF, FOUND @11:00 local time, 02.02.2023;TAG AROUND 30:83:98:D8:F9:8C: group: 0x12345678, id: F98C, 4220 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S43;989001044396521.0;200.0;35.0;165.0;M;98.82;A;SCR;;19.5;20.3;;;;521.0;both
F998;;;;;;;;X;X;7.78 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:98: group: 0x12345678, id: F998, 4225 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H25;989001044396530.0;210.0;40.0;170.0;M;98.94;A;SCR;;18.7;20.9;;;;530.0;both
F9B8;;;;;;;;X;X;7.73 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:B8: group: 0x12345678, id: F9B8, 4204 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S81;989001044396473.0;210.0;35.0;175.0;M;95.95;A;SCR;;22.15;24.5;;;;473.0;both
F9CC;;;;;;;;X;X;7.58 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:CC: group: 0x12345678, id: F9CC, 4311 mV, lastErrorId: 177, errorCnt: 1, mirroredCmdByte: 0x00, state: 4/A0/T0;B25;989001044396498.0;200.0;40.0;170.0;M;96.94;A;SCR;;17.4;17.3;;;;498.0;both
F9F0;;;;;;;;X;X;7.69 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:F0: group: 0x12345678, id: F9F0, 4244 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B8;989001044396435.0;220.0;47.0;173.0;M;99.4;A;SCR;;17.62;17.41;N;;;435.0;both
FA18;;;;;;;X;X;X;7.71 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FA:18: group: 0x12345678, id: FA18, 4260 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E15;989001044396496.0;190.0;40.0;160.0;M;97.32;A;SCR;;23.0;20.0;;;;496.0;both
FA6C;;;;;;;;X;X;7.72 g;Tag;X;;TAG AROUND 30:83:98:D8:FA:6C: group: 0x12345678, id: FA6C, 4258 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H23;989001044396376.0;205.0;45.0;160.0;M;93.2;A;SCR;1.0;18.98;17.71;N;;;376.0;both
FA78;;;;;;;;X;X;7.55 g;Tag;X;;TAG AROUND 30:83:98:D8:FA:78: group: 0x12345678, id: FA78, 4225 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S73;989001044396442.0;205.0;40.0;165.0;M;95.64;A;SCR;;14.83;17.16;N;;;442.0;both
FA8C;;;;;;;X;X;X;7.66 g;Tag;X;FALL OFF, FOUND @11:00 local time, 03.02.2023;TAG AROUND 30:83:98:D8:FA:8C: group: 0x12345678, id: FA8C, 4211 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H1;989001044396546.0;200.0;45.0;155.0;M;95.58;A;SCR;;18.46;19.27;;;;546.0;both
FA9C;;;;;;;X;X;X;7.73 g;Tag;X;FALL OFF, FOUND @15:00 local time, 30.01.2023;TAG AROUND 30:83:98:D8:FA:9C: group: 0x12345678, id: FA9C, 4276 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S23;989001044396542.0;190.0;40.0;150.0;M;93.04;A;SCR;;21.3;18.7;;;;542.0;both
FAE8;;;;;;;X;X;X;7.72 g;Tag;X;FALL OFF, FOUND @11:00 local time, 03.02.2023;TAG AROUND 30:83:98:D8:FA:E8: group: 0x12345678, id: FAE8, 4316 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H22;989001044396545.0;230.0;45.0;185.0;M;96.98;A;SCR;0.0;24.0;29.1;;;;545.0;both
FB18;;;;;;;;X;X;7.76 g;Tag;X;;TAG AROUND 30:83:98:D8:FB:18: group: 0x12345678, id: FB18, 4267 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H49;989001044396547.0;200.0;45.0;155.0;M;95.52;A;SCR;2.0;19.39;15.81;N;;w0und 0n f0rth finger;547.0;both
FB1C;;;;;;;;X;X;7.57 g;Tag;X;;TAG AROUND 30:83:98:D8:FB:1C: group: 0x12345678, id: FB1C, 4238 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H9;989001044396512.0;230.0;45.0;185.0;M;96.68;A;SCR;;23.2;19.0;;;;512.0;both
FB28;;;;;;;X;X;X;7.63 g;Tag;X;Unprotected, FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FB:28: group: 0x12345678, id: FB28, 4253 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B53;989001044396501.0;200.0;40.0;160.0;M;95.32;A;SCR;1.0;20.5;18.7;;;;501.0;both
FB78;;;;;;;X;X;X;7.83 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FB:78: group: 0x12345678, id: FB78, 4307 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S48;989001044396433.0;200.0;40.0;160.0;M;93.94;A;SCR;1.0;18.36;20.02;N;;;433.0;both
FE9C;;;;;;;;X;X;7.64 g;Tag;X;;TAG AROUND 30:83:98:D8:FE:9C: group: 0x12345678, id: FE9C, 4241 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B52;989001044396467.0;190.0;40.0;150.0;F;99.04;A;PLAC;;;;;;;467.0;both
FF2C;;;;;;;X;X;X;7.63 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FF:2C: group: 0x12345678, id: FF2C, 4241 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B44;989001044396489.0;190.0;50.0;140.0;M;91.46;A;SCR;;18.2;17.9;;;;489.0;both
FFBC;;;;;;;;X;X;7.62 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:BC: group: 0x12345678, id: FFBC, 4214 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E23;989001044396403.0;195.0;43.0;152.0;M;94.95;A;SCR;1.0;17.11;14.14;N;;;403.0;both
FFC8;;;;;;;;X;X;7.77 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:C8: group: 0x12345678, id: FFC8, 4303 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B26;989001044396504.0;210.0;50.0;150.0;M;93.8;A;SCR;0.0;25.0;19.8;;;;504.0;both
FF60;;;;;;;;X;X;7.56 g;Tag;X;okay, reshrink;NOT IN LIST;E24;989001044396514.0;200.0;40.0;160.0;M;91.83;A;SCR;;18.23;14.55;;;;514.0;both
F86C;;;;;;;;X;X;7.59 g;Tag;X;okay, reshrink;NOT IN LIST;E22;989001044396488.0;170.0;40.0;130.0;F;94.46;A;PLAC;;;;;;;488.0;both
F994;;;;;;;;X;X;7.56 g;Tag;X;okay, reshrink;NOT IN LIST;S42;989001044396374.0;200.0;40.0;160.0;M;94.86000000000001;A;SCR;;17.23;18.93;N;;;374.0;both
FAD8;;;;;;;;X;X;7.66 g;Tag;X;okay, reshrink;NOT IN LIST;E5;989001044396531.0;200.0;40.0;160.0;M;96.27;A;SCR;;25.3;19.1;;;;531.0;both
FE8C;;;;;;;X;X;X;7.65 g;Tag;X;okay, reshrink, FALL OFF, FOUND @11:00 local time, 01.02.2023;NOT IN LIST;S14;989001044396517.0;190.0;35.0;155.0;M;94.94;A;SCR;;20.6;18.9;;;;517.0;both
FFF4;;;;;;;;X;X;7.75 g;Tag;X;okay, reshrink;NOT IN LIST;B22;989001044396380.0;205.0;48.0;157.0;M;97.15;A;SCR;1.0;18.02;18.64;N;Y;small w0und 0n face;380.0;both
FEBC;;;;;;;;X;X;7.65 g;Tag;X;okay, reshrink;NOT IN LIST;H13;989001044396550.0;200.0;40.0;160.0;M;95.26;A;SCR;0.0;21.9;19.2;;;;550.0;both
FED0;;;;;;;;X;X;7.71 g;Tag;X;okay, reshrink;NOT IN LIST;H19;989001044396532.0;190.0;40.0;150.0;M;94.69;A;SCR;;18.2;18.8;;;;532.0;both
FB68;;;;;;;;;X;7.60 g;Tag Car;X;Unprotected, on car roof!!!;TAG AROUND 30:83:98:D8:FB:68: group: 0x12345678, id: FB68, 4280 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;;;;;;;;;;;;;;;;;left_only
F898;;;;;;;;;;;Tag;NOT;Not there;NOT IN LIST;;;;;;;;;;;;;;;;;left_only
FEC0;;;;;;;;;;;Tag;NOT;Duplicate;-;;;;;;;;;;;;;;;;;left_only
FEC0;;;;;;;;;;;Tag;NOT;Duplicate;-;;;;;;;;;;;;;;;;;left_only
FB88;;;;;;;;;;;Tag;NOT;Duplicate;-;;;;;;;;;;;;;;;;;left_only
FB88;;;;;;;;;;;Tag;NOT;Duplicate;-;;;;;;;;;;;;;;;;;left_only
0058;;;;;;;;;;;Tag;NOT;Blew up;-;;;;;;;;;;;;;;;;;left_only
E18C;;;;;Cluster4;Outside;;;;;Gateway NB;;Changed to Gateway;gw E18C sd placed at 22:10 local, 27.1. (34.86567, 32.35894);;;;;;;;;;;;;;;;;left_only
F83C;;;;;2ndCave;;;;;;Gateway NB;;Changed to Gateway;"gw F83C sd placed by Georg at second cave, 29.1., 13:05 (34°39'23.8""N 32°43'10.7""E)";;;;;;;;;;;;;;;;;left_only
DDF4;;;;;;;;;;;Gateway NB;;Changed to Gateway;;;;;;;;;;;;;;;;;;left_only
DEC8;;;;;Cluster6;Outside;;;;;Gateway NB;;Changed to Gateway;gw DEC8 sd placed 22:33 local, 27.1. (34.86688, 32.37211);;;;;;;;;;;;;;;;;left_only
5F48;34.870723;32.350076;9.2;0.0;InCave;InCave;;;;;Gateway NB;;;;;;;;;;;;;;;;;;;;left_only
F854;34.870723;32.350076;9.2;29.1;InCave;InCave;;;;;Gateway NB;;;;;;;;;;;;;;;;;;;;left_only
5FE8;34.870723;32.350076;0.0;28.0;InCave;InCave;;;;;Gateway NB;;;;;;;;;;;;;;;;;;;;left_only
F57C;34.870723;32.350076;0.0;0.0;InCave;InCave;;;;;Gateway NB;;;;;;;;;;;;;;;;;;;;left_only
E444;34.870723;32.350076;0.0;15.2;InCave;InCave;;;;;Gateway NB;;;;;;;;;;;;;;;;;;;;left_only
2BF0;34.870723;32.350076;9.2;14.0;InCave;InCave;;;;;Gateway NB;;;;;;;;;;;;;;;;;;;;left_only
DE28;34.871275;32.350237;;;OutsideCave;Outside;;;;;Gateway Data;;Gateway on ledge next to road overlooking cave;;;;;;;;;;;;;;;;;;left_only
F6A8;34.870723;32.350076;5.5;19.0;InCave;InCave;;;;;Gateway Data;;;;;;;;;;;;;;;;;;;;left_only
E39C;34.870723;32.350076;5.5;19.0;InCave;InCave;;;;;Gateway Data;;;;;;;;;;;;;;;;;;;;left_only
E4C0;34.870723;32.350076;5.5;9.0;InCave;InCave;;;;;Gateway Data;;;;;;;;;;;;;;;;;;;;left_only
F630;34.870723;32.350076;5.5;9.0;InCave;InCave;;;;;Gateway Data;;;;;;;;;;;;;;;;;;;;left_only
2AEC;34.870723;32.350076;;;OutsideCave;Outside;;;;;Gateway Data;;Gateway next to cave back entrance;;;;;;;;;;;;;;;;;;left_only
FA58;34.870723;32.350076;7.0;19.0;InCave;InCave;;;;;Weather Station;;Inside cave since 24.1. 12:52 -> WARNING: data maybe also on handhelds (activate, notsend, see 08_20220126_DataFromActivationDeactivationHandhelds);;;;;;;;;;;;;;;;;;left_only
FB2C;34.87049109950083;32.34994027774582;;;OutsideCave;Outside;;;;;Weather Station;;Outside cave in bush since 24.1. 12:52 -> WARNING: data maybe also on handhelds (activate, notsend, see 08_20220126_DataFromActivationDeactivationHandhelds);;;;;;;;;;;;;;;;;;left_only
FAFC;34.870723;32.350076;0.0;27.9;InCave;InCave;;;;;Weather Station;;In cave (newly placed on 30.1.23 at 11:00 local time);;;;;;;;;;;;;;;;;;left_only
F8F8;34.870723;32.350076;9.2;29.1;InCave;InCave;;;;;Weather Station;;In cave (newly placed on 30.1.23 at 11:00 local time);;;;;;;;;;;;;;;;;;left_only
F8C8;34.870723;32.350076;0.0;15.2;InCave;InCave;;;;;Weather Station;;In cave (newly placed on 30.1.23 at 11:00 local time);;;;;;;;;;;;;;;;;;left_only
FF10;34.870723;32.350076;9.2;14.0;InCave;InCave;;;;;Weather Station;;In cave (newly placed on 30.1.23 at 11:00 local time);;;;;;;;;;;;;;;;;;left_only
F81C;34.870723;32.350076;0.0;0.0;InCave;InCave;;;;;Weather Station;;In cave (newly placed on 30.1.23 at 11:00 local time);;;;;;;;;;;;;;;;;;left_only
FAC8;34.870723;32.350076;9.2;0.0;InCave;InCave;;;;;Weather Station;;In cave (newly placed on 30.1.23 at 11:00 local time);;;;;;;;;;;;;;;;;;left_only
27B0;;;;;;;;;;;Test Gateway;;All tags receive this in the beginning (activation gateway used with phone?);;;;;;;;;;;;;;;;;;left_only
F9FC;;;;;;;;;;;;;;;S54;989001044396456.0;170.0;40.0;130.0;F;97.51;A;PLAC;2.0;;;N;;;456.0;right_only
F908;;;;;;;;;;;;;;;B65;989001044396540.0;210.0;45.0;165.0;M;96.88;A;SCR;0.5;23.3;21.1;;;;540.0;right_only
;;;;;;;;;;;;;;;E10;989001044396477.0;130.0;40.0;90.0;M;85.01;J;NR;;;;;;;477.0;right_only
;;;;;;;;;;;;;;;E6;989001044396487.0;110.0;40.0;70.0;F;77.29;J;NULLI;;;;Y;;;487.0;right_only
;;;;;;;;;;;;;;;S78;989001044396551.0;145.0;80.0;65.0;F;76.15;J;NULLI;;;;;;;551.0;right_only
;;;;;;;;;;;;;;;S4;989001044396520.0;140.0;40.0;100.0;F;;J;NULLI;;;;;;;520.0;right_only
0900;;;;;;;;;;;;;;;B77;989001044396536.0;210.0;45.0;165.0;M;95.5;A;SCR;;19.5;20.3;;;;536.0;right_only
