tagId;lat;lon;locationX;locationY;location;locationCategory;Fell off;Re-Activated & deployed;Activated;Weight;Type;Got Time;Notes_x;MonitorLog.txt;Bag #;Transponder #;Mass Total;Mass Bag;Mass Bat;Sex;FA(mm);Age;Repro State;Tooth Wear;Testes Width;Testes Length;Bites;Guano;Notes_y;Transponder #.1;_merge
F888;;;;;;;;X;X;7.61 g;Tag;X;;TAG AROUND 30:83:98:D8:F8:88: group: 0x12345678, id: F888, 4253 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B2;989001044396490.0;215.0;50.0;165.0;M;94.17;A;SCR;1.0;19.6;18.5;;;;490.0;both
F8C0;;;;;;;;X;X;7.42 g;Tag;X;Unprotected;TAG AROUND 30:83:98:D8:F8:C0: group: 0x12345678, id: F8C0, 4158 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H56;989001044396368.0;190.0;47.0;143.0;M;93.29;A;SCR;1.0;15.42;16.09;N;;;368.0;both
F918;;;;;;;;X;X;7.71 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:18: group: 0x12345678, id: F918, 4283 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H11;989001044396508.0;210.0;45.0;180.0;M;95.15;A;SCR;;29.1;26.1;;;;508.0;both
F928;;;;;;;;X;X;7.60 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:28: group: 0x12345678, id: F928, 4300 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E4;989001044396471.0;155.0;40.0;160.0;M;96.43;A;SCR;;21.0;23.2;;;;471.0;both
F940;;;;;;;;X;X;7.74 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:40: group: 0x12345678, id: F940, 4231 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B49;989001044396475.0;200.0;45.0;155.0;M;95.22000000000001;A;SCR;;23.0;19.0;;Y;;475.0;both
F944;;;;;;;;X;X;7.55 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:44: group: 0x12345678, id: F944, 4201 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B66;989001044396400.0;205.0;45.0;160.0;M;96.1;A;SCR;;14.81;18.14;N;;;400.0;both
F954;;;;;;;X;X;X;7.75 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:F9:54: group: 0x12345678, id: F954, 4238 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E13;989001044396474.0;200.0;40.0;160.0;M;94.68;A;SCR;1.0;18.3;15.6;Y;;;474.0;both
F95C;;;;;;;;X;X;7.70 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:5C: group: 0x12345678, id: F95C, 4231 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;;;;;;;;;;;;;;;;;left_only
F978;;;;;;;;X;X;7.86 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:78: group: 0x12345678, id: F978, 4242 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H38;989001044396401.0;205.0;45.0;160.0;M;96.98;A;SCR;0.0;16.54;14.87;Y;;;401.0;both
F980;;;;;;;;X;X;7.63 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:80: group: 0x12345678, id: F980, 4238 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S85;989001044396495.0;210.0;40.0;160.0;M;95.96;A;SCR;;20.3;19.5;;;;495.0;both
F9B4;;;;;;;;X;X;7.67 g;Tag;X;;TAG AROUND 30:83:98:D8:F9:B4: group: 0x12345678, id: F9B4, 4231 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;E8;989001044396382.0;170.0;42.0;128.0;F;94.36000000000001;A;PLAC;1.0;;;N;;;382.0;both
